stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding
10350,7305,"Carolina Street & Busti Avenue",,42.890829,-78.885420,1,0
10351,5210,"Broadway & Circle Drive",,42.900058,-78.485103,1,0
10352,3225,"Bailey Avenue & Ridge Lea Road",,42.999730,-78.814722,1,0
10353,3223,"Bailey Avenue & Ridge Lea Road",,43.000029,-78.814592,1,0
10361,50910,"Starin Avenue & St Lawrence Avenue",,42.955768,-78.843704,1,0
10362,50912,"Starin Avenue & Taunton Place",,42.954250,-78.843752,1,0
10368,225,"142 7th Street",,42.889157,-78.882331,1,0
10369,220,"52 7th Street",,42.888390,-78.881603,1,0
10370,230,"7th Street & Court Street",,42.886918,-78.881572,1,0
10371,56035,"Walden Avenue & Jim's Truck Stop",,42.907599,-78.758061,1,0
10372,19317,"Galleria Driveway & Millenium Hotel",,42.909630,-78.759330,1,0
10373,54295,"Union Road & Cheektowaga High School",,42.911118,-78.754322,1,0
10375,22220,"Grand Island Blvd & Baseline Road",,43.024699,-78.965463,1,0
10376,22305,"Grand Island Blvd & Tops Plaza",,43.020208,-78.961263,1,0
10377,22225,"Grand Island Blvd & Baseline Road",,43.025028,-78.966102,1,0
10378,28015,"Lancelot Drive & The Summit",,43.084248,-78.935734,1,0
10380,22229,"3026 Grand Island Blvd",,43.043939,-78.984001,1,0
10381,22227,"3026 Grand Island Blvd",,43.043969,-78.983731,1,0
10382,22223,"2914 Grand Island Blvd",,43.041648,-78.981763,1,0
10383,22221,"2914 Grand Island Blvd",,43.041738,-78.981601,1,0
10384,13917,"Dingens Street & Willett Street",,42.877780,-78.802803,1,0
10386,47894,"Transit Road & Sheridan Drive Ramp",,42.979370,-78.697102,1,0
10388,16560,"East Delavan Avenue & Bailey Avenue",,42.922600,-78.813792,1,0
10391,215,"7th Street & Shoreline Apartments",,42.890070,-78.883170,1,0
10393,20425,"Genesee Street & Maritime Charter School",,42.891919,-78.864583,1,0
10395,44960,"Route 5 & Highland Elementary Schl",,42.704570,-78.972671,1,0
10396,47540,"Seneca Street & Washington Street",,42.880408,-78.875150,1,0
10397,44961,"Route 5 & Highland Elementary Schl",,42.704778,-78.972711,1,0
10400,54390,"Union Road & Friendlys Restaurant",,42.887129,-78.754650,1,0
10402,46760,"Seneca Street & Keppel Street",,42.866369,-78.823223,1,0
10406,48231,"Sheridan Drive & Evans Street",,42.978389,-78.738953,1,0
10407,42845,"Pine Ridge Heritage Blvd & Genesee Street",,42.920498,-78.793242,1,0
10408,33975,"Wal-Mart Driveway & Wal-Mart",,43.093639,-78.976592,1,0
10409,7435,"Camp Road & Southwestern Boulevard",,42.749719,-78.854471,1,0
10435,6238,"Buffalo Avenue & 4th Street",,43.082300,-79.057554,1,0
10444,107,"Main Street & Ferry Avenue",,43.090540,-79.060981,1,0
10445,106,"Main Street & Ferry Avenue",,43.090518,-79.061401,1,0
10453,109,"Main Street & 1st Street",,43.089948,-79.062180,1,0
10462,4231,"Big Tree Road & Abbott Road",,42.767048,-78.791114,1,0
10467,1420,"Alberta Drive & Boulevard Mall",,42.989128,-78.817323,1,0
10533,13899,"Dick Road & Amtrak Station",,42.906339,-78.728221,1,0
